name,id,version,github_url,Vi-1,CMT_Vi+1,Vi+1,CMT_Vi+1
com.fasterxml.jackson.core:jackson-databind,53,2.8.11.4,https://github.com/FasterXML/jackson-databind,2.8.11.3,,2.8.11.5,
com.fasterxml.jackson.core:jackson-databind,53,2.9.2,https://github.com/FasterXML/jackson-databind,2.9.1,,2.9.3,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.50,https://github.com/apache/tomcat,7.0.49,,7.0.51,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.40,https://github.com/apache/tomcat,7.0.39,,7.0.41,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.37,https://github.com/apache/tomcat,7.0.36,,7.0.38,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.30,https://github.com/apache/tomcat,7.0.29,,7.0.31,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.33,https://github.com/apache/tomcat,7.0.32,,7.0.34,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.20,https://github.com/apache/tomcat,7.0.19,,7.0.21,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.21,https://github.com/apache/tomcat,7.0.20,,7.0.22,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.41,https://github.com/apache/tomcat,9.0.40,,9.0.42,
org.apache.tomcat.embed:tomcat-embed-core,24,8.5.38,https://github.com/apache/tomcat,8.5.37,,8.5.39,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.39,https://github.com/apache/tomcat,9.0.38,,9.0.40,
org.apache.tomcat.embed:tomcat-embed-core,24,8.5.27,https://github.com/apache/tomcat,8.5.26,,8.5.28,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.86,https://github.com/apache/tomcat,7.0.85,,7.0.89,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.26,https://github.com/apache/tomcat,9.0.25,,9.0.27,
org.apache.tomcat.embed:tomcat-embed-core,24,10.0.0-M9,https://github.com/apache/tomcat,10.0.0-M8,,10.0.0-M10,
org.apache.tomcat.embed:tomcat-embed-core,24,10.0.0-M5,https://github.com/apache/tomcat,10.0.0-M4,,10.0.0-M6,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.12,https://github.com/apache/tomcat,9.0.11,,9.0.13,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.13,https://github.com/apache/tomcat,9.0.12,,9.0.14,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.16,https://github.com/apache/tomcat,9.0.15,,9.0.17,
org.apache.tomcat.embed:tomcat-embed-core,24,8.5.53,https://github.com/apache/tomcat,8.5.52,,8.5.54,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.63,https://github.com/apache/tomcat,7.0.62,,7.0.64,
org.apache.tomcat.embed:tomcat-embed-core,24,7.0.65,https://github.com/apache/tomcat,7.0.64,,7.0.66,
org.apache.tomcat.embed:tomcat-embed-core,24,8.5.64,https://github.com/apache/tomcat,8.5.63,,8.5.65,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.1,https://github.com/apache/tomcat,9.0.0,,9.0.2,
org.apache.tomcat.embed:tomcat-embed-core,24,9.0.6,https://github.com/apache/tomcat,9.0.5,,9.0.7,
com.caverock:androidsvg,75,1.2.1,https://github.com/BigBadaboom/androidsvg,,,,
io.undertow:undertow-core,47,1.0.0.Beta8,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.Beta7,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.4.6.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.3.0.Beta3,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.1.7.Final,https://github.com/undertow-io/undertow,,,,
