vuln_cves,Direct
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
,
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"CVE-2020-9492
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2021-36374
CVE-2021-36373
CVE-2021-36090
CVE-2021-35517
CVE-2021-35516
CVE-2021-35515
CVE-2021-29425
CVE-2021-22569
CVE-2020-8908
CVE-2020-26939
CVE-2020-1945
CVE-2020-15522
CVE-2020-15250
CVE-2020-13956
CVE-2020-11979
CVE-2019-17571
CVE-2019-10172
CVE-2019-0201
CVE-2018-11771
CVE-2018-10237
","True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
"
"CVE-2020-9492
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2021-36374
CVE-2021-36373
CVE-2021-36090
CVE-2021-35517
CVE-2021-35516
CVE-2021-35515
CVE-2021-29425
CVE-2021-22569
CVE-2020-8908
CVE-2020-26939
CVE-2020-1945
CVE-2020-15522
CVE-2020-15250
CVE-2020-13956
CVE-2020-11979
CVE-2019-17571
CVE-2019-10172
CVE-2019-0201
CVE-2018-11771
CVE-2018-10237
","True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
"
"CVE-2020-9492
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2021-36374
CVE-2021-36373
CVE-2021-36090
CVE-2021-35517
CVE-2021-35516
CVE-2021-35515
CVE-2021-29425
CVE-2021-22569
CVE-2020-8908
CVE-2020-1945
CVE-2020-15250
CVE-2020-11979
CVE-2019-17571
CVE-2019-10172
CVE-2019-0201
CVE-2018-11771
CVE-2018-10237
","True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
"
"CVE-2020-9492
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2021-36374
CVE-2021-36373
CVE-2021-36090
CVE-2021-35517
CVE-2021-35516
CVE-2021-35515
CVE-2021-29425
CVE-2021-22569
CVE-2020-8908
CVE-2020-26939
CVE-2020-1945
CVE-2020-15522
CVE-2020-15250
CVE-2020-13956
CVE-2020-11979
CVE-2019-17571
CVE-2019-10172
CVE-2019-0201
CVE-2018-11771
CVE-2018-10237
","True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
"
"CVE-2020-9492
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2021-36374
CVE-2021-36373
CVE-2021-36090
CVE-2021-35517
CVE-2021-35516
CVE-2021-35515
CVE-2021-29425
CVE-2021-22569
CVE-2020-8908
CVE-2020-1945
CVE-2020-15250
CVE-2020-11979
CVE-2019-17571
CVE-2019-10172
CVE-2019-0201
CVE-2018-11771
CVE-2018-10237
","True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
"
"CVE-2020-9492
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2021-36374
CVE-2021-36373
CVE-2021-36090
CVE-2021-35517
CVE-2021-35516
CVE-2021-35515
CVE-2021-29425
CVE-2021-22569
CVE-2020-8908
CVE-2020-26939
CVE-2020-1945
CVE-2020-15522
CVE-2020-15250
CVE-2020-13956
CVE-2020-11979
CVE-2019-17571
CVE-2019-10172
CVE-2019-0201
CVE-2018-11771
CVE-2018-10237
","True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
"
,
